"ID";"Perioden";"TotaalLevendGeborenKinderen_1";"LevendGeborenKinderenRelatief_2";"AlgemeenVruchtbaarheidscijfer_3";"TotaalLevendGeborenKinderen_4";"Jongens_5";"Meisjes_6";"JongensPer1000Meisjes_7";"TotaalLevendGeborenKinderen_8";"JongerDan20Jaar_9";"k_20Tot25Jaar_10";"k_25Tot30Jaar_11";"k_30Tot35Jaar_12";"k_35Tot40Jaar_13";"k_40Tot45Jaar_14";"k_45JaarOfOuder_15";"TotaalLevendGeborenKinderen_16";"k_1eKind_17";"k_2eKind_18";"k_3eKind_19";"k_4eOfVolgendeKinderen_20";"TotaalLevendGeborenKinderen_21";"MoederGehuwd_22";"MoederNietGehuwd_23";"TotaalLevendGeborenKinderen_24";"PersoonMetEenNederlandseAchtergrond_25";"PersoonMetEenMigratieachtergrond_26";"PersoonMetEenWesterseMigratieacht_27";"PersoonMetEenNietWesterseMigrati_28";"DoodgeborenKinderen24OfMeerWeken_29";"DoodgeborenKinderen24Relatief_30";"DoodgeborenKinderen28OfMeerWeken_31";"DoodgeborenKinderen28Relatief_32";"TotaalGeboorten_33";"EnkelvoudigeGeboorten_34";"TotaalMeervoudigeGeboorten_35";"TotaalTweelinggeboorten_36";"k_2Jongens_37";"k_1JongenEn1Meisje_38";"k_2Meisjes_39";"DrieOfMeervoudigeGeboorten_40";"GemiddeldKindertalPerVrouw_41";"GemiddeldAantal1eKinderenPerVrouw_42";"GemiddeldAantal2eKinderenPerVrouw_43";"GemiddeldAantal3eKinderenPerVrouw_44";"GemiddeldAantal4eOfVolgendeKind_45";"GemiddeldKindertalPerMan_46";"GemiddeldAantal1eKinderenPerMan_47";"TotaalAlleKinderen_48";"Bij1eKind_49";"Bij2eKind_50";"Bij3eKind_51";"Bij4eOfVolgendeKind_52";"TotaalAlleKinderen_53";"Bij1eKindVanDeMoeder_54";"NettoVervangingsfactor_55"
"10";"1960JJ00";"  239128";"    20.8";"    89.0";"  239128";"  122796";"  116332";"    1056";"  239128";"    5432";"   42461";"   78834";"   61121";"   36660";"   13271";"    1349";"  239128";"   74486";"   64779";"   39735";"   60128";"  239128";"  235899";"    3229";"  239128";"       .";"       .";"       .";"       .";"       .";"       .";"    3618";"    14.9";"  239741";"  236763";"    2978";"    2952";"    1033";"     991";"     928";"      26";"   3.122";"   0.959";"   0.845";"   0.521";"   0.797";"       .";"       .";"    29.6";"    25.6";"    28.5";"    31.0";"    34.9";"       .";"       .";"    1.46"
"11";"1961JJ00";"  247407";"    21.3";"    90.1";"  247407";"  126740";"  120667";"    1050";"  247407";"    6222";"   45808";"   80921";"   63353";"   36379";"   13370";"    1354";"  247407";"   77577";"   67152";"   41793";"   60885";"  247407";"  243874";"    3533";"  247407";"       .";"       .";"       .";"       .";"       .";"       .";"    3724";"    14.8";"  248094";"  245078";"    3016";"    2995";"    1013";"    1068";"     914";"      21";"   3.217";"   0.990";"   0.875";"   0.548";"   0.804";"       .";"       .";"    29.5";"    25.4";"    28.4";"    30.9";"    34.9";"       .";"       .";"    1.51"
"12";"1962JJ00";"  246150";"    20.9";"    88.0";"  246150";"  126089";"  120061";"    1050";"  246150";"    6912";"   48494";"   80494";"   61737";"   34316";"   12995";"    1202";"  246150";"   79152";"   66954";"   41503";"   58541";"  246150";"  242440";"    3710";"  246150";"       .";"       .";"       .";"       .";"       .";"       .";"    3645";"    14.6";"  246670";"  243575";"    3095";"    3065";"    1019";"    1082";"     964";"      30";"   3.176";"   0.995";"   0.868";"   0.543";"   0.770";"       .";"       .";"    29.3";"    25.2";"    28.2";"    30.9";"    34.8";"       .";"       .";"    1.50"
"13";"1963JJ00";"  249879";"    20.9";"    87.9";"  249879";"  128459";"  121420";"    1058";"  249879";"    7694";"   51664";"   82045";"   61133";"   33453";"   12728";"    1162";"  249879";"   80776";"   69214";"   42269";"   57620";"  249879";"  245888";"    3991";"  249879";"       .";"       .";"       .";"       .";"       .";"       .";"    3627";"    14.3";"  250439";"  247398";"    3041";"    3015";"    1029";"     975";"    1011";"      26";"   3.193";"   0.995";"   0.890";"   0.551";"   0.757";"       .";"       .";"    29.1";"    25.0";"    28.1";"    30.8";"    34.7";"       .";"       .";"    1.50"
"14";"1964JJ00";"  250914";"    20.7";"    87.2";"  250914";"  129035";"  121879";"    1059";"  250914";"    8334";"   54524";"   83075";"   59516";"   32415";"   11947";"    1103";"  250914";"   83512";"   70157";"   42748";"   54497";"  250914";"  246553";"    4361";"  250914";"       .";"       .";"       .";"       .";"       .";"       .";"    3405";"    13.4";"  251354";"  248421";"    2933";"    2901";"    1046";"     910";"     945";"      32";"   3.166";"   1.004";"   0.892";"   0.556";"   0.715";"       .";"       .";"    28.9";"    24.9";"    27.9";"    30.7";"    34.7";"       .";"       .";"    1.49"
"15";"1965JJ00";"  245216";"    19.9";"    84.1";"  245216";"  126064";"  119152";"    1058";"  245216";"    9743";"   56023";"   82650";"   55126";"   29915";"   10727";"    1032";"  245216";"   86598";"   69786";"   40497";"   48335";"  245216";"  240705";"    4511";"  245216";"       .";"       .";"       .";"       .";"       .";"       .";"    3262";"    13.1";"  245653";"  242849";"    2804";"    2784";"     971";"     888";"     925";"      20";"   3.039";"   1.010";"   0.873";"   0.523";"   0.633";"       .";"       .";"    28.6";"    24.7";"    27.8";"    30.7";"    34.7";"       .";"       .";"    1.43"
"16";"1966JJ00";"  239611";"    19.2";"    81.1";"  239611";"  122866";"  116745";"    1052";"  239611";"    9304";"   60495";"   81165";"   51223";"   26947";"    9482";"     995";"  239611";"   89397";"   70477";"   38199";"   41538";"  239611";"  234915";"    4696";"  239611";"       .";"       .";"       .";"       .";"       .";"       .";"    3135";"    12.9";"  240073";"  237424";"    2649";"    2626";"     888";"     851";"     887";"      23";"   2.903";"   1.007";"   0.864";"   0.489";"   0.543";"       .";"       .";"    28.2";"    24.6";"    27.7";"    30.7";"    34.7";"       .";"       .";"    1.38"
"17";"1967JJ00";"  238678";"    18.9";"    79.8";"  238678";"  122529";"  116149";"    1055";"  238678";"    9043";"   66308";"   80851";"   48162";"   24913";"    8534";"     867";"  238678";"   93373";"   72096";"   36448";"   36761";"  238678";"  233725";"    4953";"  238678";"       .";"       .";"       .";"       .";"       .";"       .";"    2916";"    12.1";"  238960";"  236346";"    2614";"    2595";"     949";"     801";"     845";"      19";"   2.814";"   1.013";"   0.861";"   0.461";"   0.479";"       .";"       .";"    27.9";"    24.5";"    27.5";"    30.6";"    34.7";"       .";"       .";"    1.33"
"18";"1968JJ00";"  237112";"    18.6";"    78.2";"  237112";"  121289";"  115823";"    1047";"  237112";"    8732";"   69148";"   81917";"   46345";"   22838";"    7359";"     773";"  237112";"   94222";"   74292";"   35484";"   33114";"  237112";"  232293";"    4819";"  237112";"       .";"       .";"       .";"       .";"       .";"       .";"    2699";"    11.3";"  237273";"  234757";"    2516";"    2494";"     849";"     777";"     868";"      22";"   2.716";"   0.984";"   0.861";"   0.441";"   0.429";"       .";"       .";"    27.6";"    24.4";"    27.3";"    30.4";"    34.6";"       .";"       .";"    1.29"
"19";"1969JJ00";"  247588";"    19.2";"    80.6";"  247588";"  127123";"  120465";"    1055";"  247588";"    9196";"   73971";"   86818";"   47700";"   22199";"    6974";"     730";"  247588";"   96717";"   80305";"   38099";"   32467";"  247588";"  242210";"    5378";"  247588";"       .";"       .";"       .";"       .";"       .";"       .";"    2752";"    11.0";"  247702";"  245087";"    2615";"    2593";"     901";"     792";"     900";"      22";"   2.748";"   0.970";"   0.898";"   0.463";"   0.417";"       .";"       .";"    27.5";"    24.3";"    27.2";"    30.3";"    34.4";"       .";"       .";"    1.30"
