"ID";"Perioden";"TotaalLevendGeborenKinderen_1";"LevendGeborenKinderenRelatief_2";"AlgemeenVruchtbaarheidscijfer_3";"TotaalLevendGeborenKinderen_4";"Jongens_5";"Meisjes_6";"JongensPer1000Meisjes_7";"TotaalLevendGeborenKinderen_8";"JongerDan20Jaar_9";"k_20Tot25Jaar_10";"k_25Tot30Jaar_11";"k_30Tot35Jaar_12";"k_35Tot40Jaar_13";"k_40Tot45Jaar_14";"k_45JaarOfOuder_15";"TotaalLevendGeborenKinderen_16";"k_1eKind_17";"k_2eKind_18";"k_3eKind_19";"k_4eOfVolgendeKinderen_20";"TotaalLevendGeborenKinderen_21";"MoederGehuwd_22";"MoederNietGehuwd_23";"TotaalLevendGeborenKinderen_24";"PersoonMetEenNederlandseAchtergrond_25";"PersoonMetEenMigratieachtergrond_26";"PersoonMetEenWesterseMigratieacht_27";"PersoonMetEenNietWesterseMigrati_28";"DoodgeborenKinderen24OfMeerWeken_29";"DoodgeborenKinderen24Relatief_30";"DoodgeborenKinderen28OfMeerWeken_31";"DoodgeborenKinderen28Relatief_32";"TotaalGeboorten_33";"EnkelvoudigeGeboorten_34";"TotaalMeervoudigeGeboorten_35";"TotaalTweelinggeboorten_36";"k_2Jongens_37";"k_1JongenEn1Meisje_38";"k_2Meisjes_39";"DrieOfMeervoudigeGeboorten_40";"GemiddeldKindertalPerVrouw_41";"GemiddeldAantal1eKinderenPerVrouw_42";"GemiddeldAantal2eKinderenPerVrouw_43";"GemiddeldAantal3eKinderenPerVrouw_44";"GemiddeldAantal4eOfVolgendeKind_45";"GemiddeldKindertalPerMan_46";"GemiddeldAantal1eKinderenPerMan_47";"TotaalAlleKinderen_48";"Bij1eKind_49";"Bij2eKind_50";"Bij3eKind_51";"Bij4eOfVolgendeKind_52";"TotaalAlleKinderen_53";"Bij1eKindVanDeMoeder_54";"NettoVervangingsfactor_55"
"30";"1980JJ00";"  181294";"    12.8";"    50.5";"  181294";"   92948";"   88346";"    1052";"  181294";"    4203";"   41403";"   80940";"   43955";"    8916";"    1700";"     177";"  181294";"   78103";"   67228";"   24985";"   10978";"  181294";"  173840";"    7454";"  181294";"       .";"       .";"       .";"       .";"       .";"       .";"    1205";"     6.6";"  180517";"  178565";"    1952";"    1927";"     688";"     541";"     698";"      25";"   1.602";"   0.680";"   0.593";"   0.223";"   0.105";"       .";"       .";"    27.5";"    25.6";"    27.9";"    30.0";"    33.0";"       .";"       .";"    0.76"
"31";"1981JJ00";"  178569";"    12.5";"    49.1";"  178569";"   91177";"   87392";"    1043";"  178569";"    4202";"   38953";"   79856";"   43582";"   10109";"    1668";"     199";"  178569";"   76368";"   65497";"   25169";"   11535";"  178569";"  169910";"    8659";"  178569";"       .";"       .";"       .";"       .";"       .";"       .";"    1122";"     6.2";"  177692";"  175727";"    1965";"    1932";"     698";"     539";"     695";"      33";"   1.563";"   0.658";"   0.574";"   0.223";"   0.108";"       .";"       .";"    27.6";"    25.7";"    28.0";"    30.1";"    33.1";"       .";"       .";"    0.75"
"32";"1982JJ00";"  172071";"    12.0";"    46.7";"  172071";"   88219";"   83852";"    1052";"  172071";"    3740";"   36487";"   76327";"   42637";"   10988";"    1710";"     182";"  172071";"   73445";"   62512";"   24364";"   11750";"  172071";"  161924";"   10147";"  172071";"       .";"       .";"       .";"       .";"       .";"       .";"    1010";"     5.8";"  171156";"  169268";"    1888";"    1854";"     664";"     510";"     680";"      34";"   1.496";"   0.628";"   0.544";"   0.215";"   0.108";"       .";"       .";"    27.8";"    25.8";"    28.1";"    30.2";"    33.1";"       .";"       .";"    0.72"
"33";"1983JJ00";"  170246";"    11.8";"    45.7";"  170246";"   87037";"   83209";"    1046";"  170246";"    3469";"   35168";"   74591";"   43764";"   11463";"    1596";"     195";"  170246";"   74602";"   60638";"   23426";"   11580";"  170246";"  158389";"   11857";"  170246";"       .";"       .";"       .";"       .";"       .";"       .";"    1002";"     5.9";"  169373";"  167521";"    1852";"    1830";"     631";"     570";"     629";"      22";"   1.468";"   0.633";"   0.524";"   0.206";"   0.105";"       .";"       .";"    27.9";"    26.0";"    28.2";"    30.3";"    33.1";"       .";"       .";"    0.70"
"34";"1984JJ00";"  174436";"    12.1";"    46.2";"  174436";"   89494";"   84942";"    1054";"  174436";"    3237";"   34639";"   76396";"   46020";"   12251";"    1724";"     169";"  174436";"   78076";"   60727";"   23866";"   11767";"  174436";"  161082";"   13354";"  174436";"       .";"       .";"       .";"       .";"       .";"       .";"    1036";"     5.9";"  173410";"  171385";"    2025";"    1991";"     691";"     610";"     690";"      34";"   1.491";"   0.657";"   0.521";"   0.208";"   0.106";"       .";"       .";"    28.0";"    26.2";"    28.3";"    30.4";"    33.2";"       .";"       .";"    0.71"
"35";"1985JJ00";"  178136";"    12.3";"    46.6";"  178136";"   91027";"   87109";"    1045";"  178136";"    2988";"   32813";"   77024";"   50091";"   13274";"    1725";"     221";"  178136";"   78392";"   63184";"   24507";"   12053";"  178136";"  163370";"   14766";"  178136";"       .";"       .";"       .";"       .";"       .";"       .";"    1054";"     5.9";"  177067";"  174977";"    2090";"    2058";"     716";"     653";"     689";"      32";"   1.511";"   0.655";"   0.537";"   0.212";"   0.107";"       .";"       .";"    28.2";"    26.5";"    28.5";"    30.6";"    33.2";"       .";"       .";"    0.73"
"36";"1986JJ00";"  184513";"    12.7";"    47.7";"  184513";"   93853";"   90660";"    1035";"  184513";"    3044";"   31149";"   79071";"   54472";"   14454";"    2096";"     227";"  184513";"   80380";"   66218";"   25560";"   12355";"  184513";"  168293";"   16220";"  184513";"       .";"       .";"       .";"       .";"       .";"       .";"    1060";"     5.7";"  183312";"  181087";"    2225";"    2194";"     728";"     691";"     775";"      31";"   1.552";"   0.667";"   0.558";"   0.219";"   0.109";"       .";"       .";"    28.4";"    26.8";"    28.7";"    30.7";"    33.3";"       .";"       .";"    0.75"
"37";"1987JJ00";"  186667";"    12.7";"    47.8";"  186667";"   95819";"   90848";"    1055";"  186667";"    3057";"   28870";"   78446";"   58096";"   15705";"    2272";"     221";"  186667";"   81712";"   66588";"   25731";"   12636";"  186667";"  169282";"   17385";"  186667";"       .";"       .";"       .";"       .";"       .";"       .";"    1036";"     5.5";"  185341";"  183036";"    2305";"    2250";"     748";"     688";"     814";"      55";"   1.558";"   0.673";"   0.556";"   0.219";"   0.110";"       .";"       .";"    28.7";"    27.0";"    29.0";"    30.8";"    33.4";"       .";"       .";"    0.75"
"38";"1988JJ00";"  186647";"    12.6";"    47.4";"  186647";"   95474";"   91173";"    1047";"  186647";"    3171";"   27323";"   76407";"   60527";"   16613";"    2392";"     214";"  186647";"   83209";"   65216";"   25601";"   12621";"  186647";"  167696";"   18951";"  186647";"       .";"       .";"       .";"       .";"       .";"       .";"    1038";"     5.5";"  185239";"  182845";"    2394";"    2346";"     814";"     727";"     805";"      48";"   1.545";"   0.681";"   0.540";"   0.215";"   0.109";"       .";"       .";"    28.8";"    27.2";"    29.2";"    30.9";"    33.4";"       .";"       .";"    0.75"
"39";"1989JJ00";"  188979";"    12.7";"    47.8";"  188979";"   96300";"   92679";"    1039";"  188979";"    3171";"   26228";"   75033";"   63395";"   18301";"    2618";"     233";"  188979";"   83684";"   66292";"   26247";"   12756";"  188979";"  168802";"   20177";"  188979";"       .";"       .";"       .";"       .";"       .";"       .";"    1100";"     5.8";"  187439";"  184881";"    2558";"    2480";"     847";"     820";"     813";"      78";"   1.553";"   0.681";"   0.544";"   0.219";"   0.109";"       .";"       .";"    29.0";"    27.3";"    29.4";"    31.1";"    33.6";"       .";"       .";"    0.75"
"40";"1990JJ00";"  197965";"    13.2";"    49.9";"  197965";"  101561";"   96404";"    1053";"  197965";"    3258";"   25988";"   76315";"   68923";"   20438";"    2778";"     265";"  197965";"   89237";"   68193";"   27474";"   13061";"  197965";"  175440";"   22525";"  197965";"       .";"       .";"       .";"       .";"       .";"       .";"    1139";"     5.7";"  196171";"  193363";"    2808";"    2690";"     892";"     882";"     916";"     118";"   1.617";"   0.724";"   0.556";"   0.227";"   0.111";"       .";"       .";"    29.2";"    27.5";"    29.6";"    31.3";"    33.6";"       .";"       .";"    0.78"
"41";"1991JJ00";"  198665";"    13.2";"    49.8";"  198665";"  101581";"   97084";"    1046";"  198665";"    3072";"   25007";"   73994";"   70969";"   22329";"    3045";"     249";"  198665";"   90011";"   68892";"   26965";"   12797";"  198665";"  174839";"   23826";"  198665";"       .";"       .";"       .";"       .";"    1282";"     6.4";"    1067";"     5.3";"  196698";"  193780";"    2918";"    2794";"     961";"     943";"     890";"     124";"   1.612";"   0.727";"   0.557";"   0.221";"   0.107";"       .";"       .";"    29.4";"    27.7";"    29.9";"    31.5";"    33.7";"       .";"       .";"    0.78"
"42";"1992JJ00";"  196734";"    13.0";"    49.1";"  196734";"  100862";"   95872";"    1052";"  196734";"    2692";"   23442";"   70031";"   73197";"   23854";"    3273";"     245";"  196734";"   87147";"   69696";"   27007";"   12884";"  196734";"  172251";"   24483";"  196734";"       .";"       .";"       .";"       .";"    1332";"     6.7";"    1114";"     5.6";"  194833";"  191929";"    2904";"    2789";"     867";"     959";"     963";"     115";"   1.587";"   0.703";"   0.559";"   0.219";"   0.107";"       .";"       .";"    29.6";"    28.0";"    30.0";"    31.7";"    33.8";"       .";"       .";"    0.76"
"43";"1993JJ00";"  195748";"    12.8";"    48.7";"  195748";"  100118";"   95630";"    1047";"  195748";"    2461";"   21776";"   67439";"   75094";"   25280";"    3474";"     224";"  195748";"   86888";"   70237";"   26396";"   12227";"  195748";"  170100";"   25648";"  195748";"       .";"       .";"       .";"       .";"    1338";"     6.8";"    1071";"     5.4";"  193816";"  190898";"    2918";"    2825";"     954";"     953";"     918";"      93";"   1.572";"   0.700";"   0.560";"   0.212";"   0.100";"       .";"       .";"    29.8";"    28.3";"    30.3";"    31.9";"    33.9";"       .";"       .";"    0.76"
"44";"1994JJ00";"  195611";"    12.7";"    48.6";"  195611";"  100261";"   95350";"    1052";"  195611";"    2288";"   20548";"   65633";"   76774";"   26532";"    3621";"     215";"  195611";"   86999";"   69798";"   26652";"   12162";"  195611";"  167712";"   27899";"  195611";"       .";"       .";"       .";"       .";"    1319";"     6.7";"    1055";"     5.4";"  193627";"  190695";"    2932";"    2818";"     945";"     973";"     900";"     114";"   1.569";"   0.703";"   0.555";"   0.212";"   0.098";"       .";"       .";"    30.0";"    28.4";"    30.5";"    31.9";"    33.9";"       .";"       .";"    0.76"
"45";"1995JJ00";"  190513";"    12.3";"    47.3";"  190513";"   97560";"   92953";"    1050";"  190513";"    1904";"   18366";"   62700";"   76235";"   27502";"    3644";"     162";"  190513";"   85030";"   69611";"   24861";"   11011";"  190513";"  160952";"   29561";"  190513";"       .";"       .";"       .";"       .";"    1222";"     6.4";"     961";"     5.0";"  188186";"  185050";"    3136";"    3070";"    1072";"     990";"    1008";"      66";"   1.531";"   0.691";"   0.554";"   0.198";"   0.089";"       .";"       .";"    30.2";"    28.6";"    30.7";"    32.1";"    34.1";"       .";"       .";"    0.74"
"46";"1996JJ00";"  189521";"    12.2";"    47.4";"  189521";"   97576";"   91945";"    1061";"  189521";"    1857";"   16760";"   61129";"   77057";"   28740";"    3796";"     182";"  189521";"   85792";"   68334";"   24631";"   10764";"  189521";"  157329";"   32192";"  189521";"  149722";"   39799";"   15445";"   24354";"    1221";"     6.4";"     947";"     5.0";"  187033";"  183738";"    3295";"    3197";"    1069";"    1069";"    1059";"      98";"   1.529";"   0.703";"   0.545";"   0.195";"   0.086";"   1.461";"   0.662";"    30.3";"    28.9";"    30.8";"    32.3";"    34.2";"    33.0";"    31.6";"    0.73"
"47";"1997JJ00";"  192443";"    12.3";"    48.5";"  192443";"   98254";"   94189";"    1043";"  192443";"    1979";"   16556";"   60515";"   78845";"   30256";"    4125";"     167";"  192443";"   89322";"   68173";"   24238";"   10710";"  192443";"  155580";"   36863";"  192443";"  150688";"   41755";"   15497";"   26258";"    1279";"     6.6";"     985";"     5.1";"  190029";"  186701";"    3328";"    3245";"    1068";"    1134";"    1043";"      83";"   1.562";"   0.739";"   0.546";"   0.192";"   0.085";"   1.485";"   0.692";"    30.4";"    29.0";"    31.0";"    32.5";"    34.3";"    33.1";"    31.7";"    0.76"
"48";"1998JJ00";"  199408";"    12.7";"    50.4";"  199408";"  102137";"   97271";"    1050";"  199408";"    2038";"   16330";"   61191";"   82702";"   32531";"    4451";"     165";"  199408";"   93876";"   69877";"   24970";"   10685";"  199408";"  157969";"   41439";"  199408";"  155578";"   43830";"   16162";"   27668";"    1271";"     6.3";"     970";"     4.8";"  196682";"  193052";"    3630";"    3556";"    1180";"    1233";"    1143";"      74";"   1.628";"   0.783";"   0.562";"   0.198";"   0.085";"   1.540";"   0.731";"    30.6";"    29.1";"    31.2";"    32.6";"    34.3";"    33.3";"    31.9";"    0.79"
"49";"1999JJ00";"  200445";"    12.7";"    50.8";"  200445";"  102896";"   97549";"    1055";"  200445";"    2323";"   16246";"   58920";"   83718";"   34243";"    4808";"     187";"  200445";"   93815";"   71289";"   24840";"   10501";"  200445";"  154853";"   45592";"  200445";"  155800";"   44645";"   16339";"   28306";"    1263";"     6.3";"     944";"     4.7";"  197633";"  193924";"    3709";"    3634";"    1156";"    1348";"    1130";"      75";"   1.652";"   0.794";"   0.577";"   0.198";"   0.083";"   1.555";"   0.737";"    30.6";"    29.1";"    31.3";"    32.7";"    34.5";"    33.3";"    31.9";"    0.79"
"50";"2000JJ00";"  206619";"    13.0";"    52.4";"  206619";"  105637";"  100982";"    1046";"  206619";"    2503";"   17456";"   57358";"   87117";"   36750";"    5249";"     186";"  206619";"   95972";"   74014";"   25685";"   10948";"  206619";"  155080";"   51539";"  206619";"  158884";"   47735";"   17267";"   30468";"    1253";"     6.0";"    1000";"     4.8";"  203890";"  200172";"    3718";"    3639";"    1203";"    1335";"    1101";"      79";"   1.723";"   0.826";"   0.604";"   0.205";"   0.087";"   1.614";"   0.764";"    30.7";"    29.1";"    31.4";"    32.9";"    34.7";"    33.5";"    32.0";"    0.83"
"51";"2001JJ00";"  202603";"    12.6";"    51.3";"  202603";"  103806";"   98797";"    1051";"  202603";"    2686";"   17471";"   53838";"   85616";"   37345";"    5451";"     196";"  202603";"   93695";"   73533";"   24896";"   10479";"  202603";"  147495";"   55108";"  202603";"  154766";"   47837";"   16884";"   30953";"    1258";"     6.2";"     996";"     4.9";"  199860";"  196109";"    3751";"    3695";"    1204";"    1335";"    1156";"      56";"   1.710";"   0.821";"   0.606";"   0.200";"   0.083";"   1.596";"   0.756";"    30.8";"    29.2";"    31.6";"    33.0";"    34.7";"    33.6";"    32.1";"    0.83"
"52";"2002JJ00";"  202083";"    12.5";"    51.2";"  202083";"  103734";"   98349";"    1055";"  202083";"    2649";"   17667";"   51907";"   86077";"   37859";"    5701";"     223";"  202083";"   92199";"   74403";"   25312";"   10169";"  202083";"  143558";"   58525";"  202083";"  153791";"   48292";"   16926";"   31366";"    1185";"     5.8";"     945";"     4.7";"  199205";"  195436";"    3769";"    3707";"    1256";"    1288";"    1163";"      62";"   1.731";"   0.822";"   0.622";"   0.206";"   0.081";"   1.612";"   0.758";"    30.9";"    29.2";"    31.6";"    33.1";"    34.8";"    33.7";"    32.2";"    0.83"
"53";"2003JJ00";"  200297";"    12.3";"    50.8";"  200297";"  102870";"   97427";"    1056";"  200297";"    2484";"   17560";"   51155";"   83595";"   39429";"    5836";"     238";"  200297";"   91120";"   73952";"   25299";"    9926";"  200297";"  138858";"   61439";"  200297";"  151670";"   48627";"   17114";"   31513";"    1124";"     5.6";"     928";"     4.6";"  197472";"  193786";"    3686";"    3616";"    1212";"    1265";"    1139";"      70";"   1.747";"   0.828";"   0.630";"   0.209";"   0.080";"   1.626";"   0.765";"    31.0";"    29.3";"    31.7";"    33.2";"    34.9";"    33.8";"    32.3";"    0.83"
"54";"2004JJ00";"  194007";"    11.9";"    49.3";"  194007";"   99230";"   94777";"    1047";"  194007";"    2182";"   17383";"   49344";"   79001";"   39655";"    6225";"     217";"  194007";"   88432";"   71462";"   24518";"    9595";"  194007";"  130978";"   63029";"  194007";"  145450";"   48557";"   16784";"   31773";"    1013";"     5.2";"     795";"     4.1";"  191158";"  187571";"    3587";"    3523";"    1140";"    1228";"    1155";"      64";"   1.726";"   0.819";"   0.623";"   0.206";"   0.078";"   1.609";"   0.760";"    31.0";"    29.4";"    31.8";"    33.3";"    35.0";"    34.0";"    32.5";"    0.84"
"55";"2005JJ00";"  187910";"    11.5";"    48.0";"  187910";"   96338";"   91572";"    1052";"  187910";"    2010";"   16693";"   48852";"   73845";"   39967";"    6308";"     235";"  187910";"   84928";"   69668";"   23980";"    9334";"  187910";"  122347";"   65563";"  187910";"  139983";"   47927";"   16416";"   31511";"     983";"     5.2";"     760";"     4.0";"  185151";"  181655";"    3496";"    3448";"    1165";"    1199";"    1084";"      48";"   1.708";"   0.802";"   0.623";"   0.206";"   0.078";"   1.598";"   0.750";"    31.1";"    29.4";"    31.8";"    33.3";"    35.1";"    34.0";"    32.5";"    0.82"
"56";"2006JJ00";"  185057";"    11.3";"    47.5";"  185057";"   94979";"   90078";"    1054";"  185057";"    1859";"   16344";"   49342";"   70987";"   39951";"    6328";"     246";"  185057";"   82877";"   69127";"   23680";"    9373";"  185057";"  116482";"   68575";"  185057";"  137454";"   47603";"   16091";"   31512";"     856";"     4.6";"     642";"     3.5";"  182448";"  179204";"    3244";"    3210";"    1024";"    1142";"    1044";"      34";"   1.720";"   0.797";"   0.635";"   0.209";"   0.080";"   1.615";"   0.750";"    31.1";"    29.4";"    31.8";"    33.3";"    35.1";"    34.1";"    32.5";"    0.83"
"57";"2007JJ00";"  181336";"    11.1";"    46.8";"  181336";"   92560";"   88776";"    1043";"  181336";"    1858";"   16384";"   48863";"   67787";"   39668";"    6522";"     254";"  181336";"   81905";"   66842";"   23456";"    9133";"  181336";"  109777";"   71559";"  181336";"  133849";"   47487";"   16330";"   31157";"     781";"     4.3";"     608";"     3.3";"  178850";"  175788";"    3062";"    3023";"     975";"    1078";"     970";"      39";"   1.718";"   0.799";"   0.627";"   0.212";"   0.080";"   1.620";"   0.757";"    31.1";"    29.4";"    31.8";"    33.3";"    35.1";"    34.1";"    32.5";"    0.83"
"58";"2008JJ00";"  184634";"    11.2";"    47.8";"  184634";"   94838";"   89796";"    1056";"  184634";"    1905";"   16336";"   50710";"   69132";"   39455";"    6817";"     279";"  184634";"   83335";"   68144";"   24021";"    9134";"  184634";"  108497";"   76137";"  184634";"  136170";"   48464";"   16865";"   31599";"     774";"     4.2";"     608";"     3.3";"  181997";"  178770";"    3227";"    3189";"    1039";"    1083";"    1067";"      38";"   1.773";"   0.819";"   0.651";"   0.223";"   0.081";"   1.679";"   0.781";"    31.1";"    29.4";"    31.8";"    33.3";"    35.1";"    34.1";"    32.4";"    0.86"
"59";"2009JJ00";"  184915";"    11.2";"    48.0";"  184915";"   94619";"   90296";"    1048";"  184915";"    1953";"   16499";"   51459";"   68828";"   38637";"    7252";"     287";"  184915";"   85242";"   66819";"   23810";"    9044";"  184915";"  104879";"   80036";"  184915";"  135544";"   49371";"   17543";"   31828";"     648";"     3.5";"     499";"     2.7";"  182186";"  178989";"    3197";"    3153";"    1064";"    1071";"    1018";"      44";"   1.790";"   0.839";"   0.645";"   0.224";"   0.082";"   1.704";"   0.805";"    31.0";"    29.4";"    31.8";"    33.4";"    35.1";"    34.0";"    32.4";"    0.87"
"60";"2010JJ00";"  184397";"    11.1";"    48.0";"  184397";"   94129";"   90268";"    1043";"  184397";"    1884";"   16417";"   51570";"   69420";"   37213";"    7565";"     328";"  184397";"   85466";"   66412";"   23604";"    8915";"  184397";"  108645";"   75752";"  184397";"  133739";"   50658";"   17958";"   32700";"     648";"     3.5";"     490";"     2.7";"  181837";"  178819";"    3018";"    2974";"     956";"    1060";"     958";"      44";"   1.796";"   0.841";"   0.647";"   0.226";"   0.082";"   1.719";"   0.812";"    31.0";"    29.4";"    31.7";"    33.3";"    35.1";"    34.0";"    32.4";"    0.87"
"61";"2011JJ00";"  180060";"    10.8";"    47.1";"  180060";"   92353";"   87707";"    1053";"  180060";"    1717";"   15782";"   50295";"   69174";"   35340";"    7393";"     359";"  180060";"   83538";"   65423";"   22436";"    8663";"  180060";"  104864";"   75196";"  180060";"  129802";"   50258";"   17551";"   32707";"     620";"     3.4";"     486";"     2.7";"  177648";"  174778";"    2870";"    2825";"     965";"     947";"     913";"      45";"   1.759";"   0.821";"   0.640";"   0.217";"   0.081";"   1.695";"   0.797";"    31.0";"    29.4";"    31.7";"    33.2";"    35.1";"    34.0";"    32.4";"    0.85"
"62";"2012JJ00";"  175959";"    10.5";"    46.3";"  175959";"   90180";"   85779";"    1051";"  175959";"    1592";"   15206";"   50371";"   67489";"   33725";"    7212";"     364";"  175959";"   81617";"   64343";"   21616";"    8383";"  175959";"  100929";"   75030";"  175959";"  125372";"   50587";"   17644";"   32943";"     594";"     3.4";"     438";"     2.5";"  173429";"  170487";"    2942";"    2893";"     993";"     967";"     933";"      49";"   1.723";"   0.801";"   0.631";"   0.211";"   0.080";"   1.671";"   0.782";"    31.0";"    29.4";"    31.7";"    33.2";"    35.0";"    34.0";"    32.4";"    0.83"
"63";"2013JJ00";"  171341";"    10.2";"    45.3";"  171341";"   87957";"   83384";"    1055";"  171341";"    1360";"   14581";"   49342";"   65925";"   32939";"    6836";"     358";"  171341";"   79460";"   62905";"   20930";"    8046";"  171341";"   97342";"   73999";"  171341";"  121724";"   49617";"   17635";"   31982";"     510";"     3.0";"     401";"     2.3";"  168883";"  166050";"    2833";"    2788";"     942";"     933";"     913";"      45";"   1.679";"   0.778";"   0.618";"   0.205";"   0.078";"   1.638";"   0.763";"    31.0";"    29.4";"    31.7";"    33.2";"    34.8";"    34.0";"    32.4";"    0.81"
"64";"2014JJ00";"  175181";"    10.4";"    46.5";"  175181";"   89510";"   85671";"    1045";"  175181";"    1276";"   14213";"   50307";"   68120";"   33797";"    7046";"     422";"  175181";"   80744";"   64013";"   21754";"    8670";"  175181";"   97933";"   77248";"  175181";"  123345";"   51836";"   18414";"   33422";"     487";"     2.8";"     376";"     2.1";"  172818";"  170108";"    2710";"    2668";"     930";"     911";"     827";"      42";"   1.713";"   0.787";"   0.628";"   0.214";"   0.084";"   1.678";"   0.775";"    31.1";"    29.5";"    31.8";"    33.2";"    35.0";"    34.0";"    32.5";"    0.83"
"65";"2015JJ00";"  170510";"    10.1";"    45.4";"  170510";"   87427";"   83083";"    1052";"  170510";"    1109";"   13125";"   48724";"   66373";"   34070";"    6733";"     376";"  170510";"   77666";"   62811";"   21588";"    8445";"  170510";"   95219";"   75291";"  170510";"  118657";"   51853";"   18589";"   33264";"     500";"     2.9";"     382";"     2.2";"  168184";"  165502";"    2682";"    2639";"     921";"     855";"     863";"      43";"   1.658";"   0.752";"   0.613";"   0.211";"   0.082";"   1.630";"   0.741";"    31.1";"    29.6";"    31.8";"    33.2";"    34.8";"    34.1";"    32.5";"    0.80"
"66";"2016JJ00";"  172520";"    10.1";"    46.0";"  172520";"   88587";"   83933";"    1055";"  172520";"    1076";"   12580";"   48557";"   67760";"   35205";"    6922";"     420";"  172520";"   78092";"   63287";"   22345";"    8796";"  172520";"   96688";"   75832";"  172520";"  118787";"   53733";"   18723";"   35010";"     493";"     2.8";"     388";"     2.2";"  170323";"  167756";"    2567";"    2534";"     834";"     845";"     855";"      33";"   1.663";"   0.748";"   0.612";"   0.217";"   0.086";"   1.639";"   0.739";"    31.2";"    29.7";"    31.8";"    33.3";"    35.0";"    34.1";"    32.6";"    0.80"
"67";"2017JJ00";"  169836";"     9.9";"    45.2";"  169836";"   87159";"   82677";"    1054";"  169836";"    1023";"   11722";"   47197";"   67575";"   34905";"    6941";"     473";"  169836";"   76507";"   62356";"   22123";"    8850";"  169836";"   96213";"   73623";"  169836";"  116236";"   53600";"   18914";"   34686";"     482";"     2.8";"     356";"     2.1";"  167595";"  165008";"    2587";"    2554";"     889";"     852";"     813";"      33";"   1.619";"   0.724";"   0.596";"   0.213";"   0.086";"   1.601";"   0.716";"    31.3";"    29.8";"    31.9";"    33.3";"    35.0";"    34.2";"    32.7";"    0.78"
"68";"2018JJ00";"  168525";"     9.8";"    44.8";"  168525";"   86204";"   82321";"    1047";"  168525";"     950";"   11223";"   45974";"   68110";"   34715";"    7089";"     464";"  168525";"   75553";"   61742";"   22222";"    9008";"  168525";"   96257";"   72268";"  168525";"  113915";"   54610";"   18923";"   35687";"     506";"     3.0";"     383";"     2.3";"  166331";"  163786";"    2545";"    2497";"     837";"     837";"     823";"      48";"   1.586";"   0.706";"   0.583";"   0.211";"   0.086";"   1.571";"   0.698";"    31.4";"    29.9";"    31.9";"    33.3";"    35.0";"    34.2";"    32.7";"    0.77"
"69";"2019JJ00";"  169680";"     9.8";"    45.1";"  169680";"   86893";"   82787";"    1050";"  169680";"     915";"   10685";"   45300";"   69205";"   35732";"    7356";"     487";"  169680";"   77225";"   61267";"   22206";"    8982";"  169680";"   97958";"   71722";"  169680";"  113721";"   55959";"   19343";"   36616";"     512";"     3.0";"     405";"     2.4";"  167588";"  165112";"    2476";"    2444";"     831";"     794";"     819";"      32";"   1.574";"   0.712";"   0.569";"   0.208";"   0.085";"   1.560";"   0.703";"    31.5";"    30.0";"    32.1";"    33.5";"    35.1";"    34.3";"    32.8";"    0.76"
"70";"2020JJ00";"  168681";"     9.7";"    44.8";"  168681";"   86497";"   82184";"    1052";"  168681";"     876";"   10015";"   43666";"   70258";"   35868";"    7571";"     427";"  168681";"   76723";"   61405";"   21587";"    8966";"  168681";"   97745";"   70936";"  168681";"  113404";"   55277";"   19071";"   36206";"     476";"     2.8";"     360";"     2.1";"  166466";"  163910";"    2556";"    2519";"     901";"     807";"     811";"      37";"   1.545";"   0.699";"   0.563";"   0.200";"   0.084";"   1.528";"   0.688";"    31.6";"    30.1";"    32.2";"    33.5";"    35.2";"    34.4";"    32.9";"    0.75"
"71";"2021JJ00";"  179441";"    10.2";"    47.7";"  179441";"   91817";"   87624";"    1048";"  179441";"     715";"    9899";"   45289";"   75904";"   39153";"    8007";"     474";"  179441";"   81529";"   65209";"   23356";"    9347";"  179441";"  103800";"   75641";"  179441";"  121283";"   58158";"   20416";"   37742";"     499";"     2.8";"     388";"     2.2";"  177248";"  174678";"    2570";"    2542";"     867";"     796";"     879";"      28";"   1.624";"   0.735";"   0.590";"   0.213";"   0.086";"   1.604";"   0.721";"    31.7";"    30.3";"    32.3";"    33.6";"    35.3";"    34.4";"    32.8";"    0.79"
